Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Cullion,H 4781,0,0.060149,0.03923,0.015212,0,0.113443,3498.305099,43.0005,0.88541,54.67491049,-7.272204535,1,sunflower and peanuts
Curragh wood/ Kesh,H 1264,0,0.212184,0.004929,0.376423,0,0.01444,0,94.8245,0.351979,54.52424415,-7.815423169,1,sunflower and peanuts
Curryfree,C 4310,0,0.026126,0.005208,0,0.01704,0.009374,2951.217896,788.478543,0.933889,54.9357506,-7.329904815,1,sunflower and peanuts
Darkley,H 8630,0.010346,0.257427,0.007961,0.315774,0,0.039938,3426.734345,94.431202,0.403907,54.21174276,-6.682596367,1,sunflower and peanuts
Davagh 1,H 7086,0.073841,0.014081,0.001722,0.886347,0.005632,0,3615.690021,27.4863,0.007177,54.71715068,-6.914543618,1,sunflower and peanuts
Davagh 3,H 7384,0.119283,0.009328,0.022402,0.251824,0.199476,0.169185,408.831652,9.71762,0.262118,54.69876249,-6.868502202,1,sunflower and peanuts
Derrandoran ,H 3576,0.482119,0.050774,0,0,0.057781,0,1712.166767,119.409668,0.363009,54.63097234,-7.458802568,1,sunflower and peanuts
Derriaghy glen,H 2968,0.900872,0.092623,0,0.000691,0.0042,0.001614,1228.261267,8.87872,0.001614,54.55948945,-7.552493341,1,sunflower and peanuts
Derrycourtney Forest,H 7246,0,0.123096,0,0.013805,0,0.008864,0,18.0791,0.856586,54.35760857,-6.893283111,1,sunflower and peanuts
Derrycrain,H 9178,0.003349,0.039183,0.086308,0.43901,0,0,0,15.5387,0.432149,54.6419528,-6.591269604,1,sunflower and peanuts
Derryhoney,H 3241,0,0.068792,0,0.060659,0,0.00618,197.711506,159.088271,0.870548,54.31676756,-7.509035338,1,sunflower and peanuts
Derryleckagh Forest,J 1225,0,0.063482,0.034073,0.00613,0.021656,0.039768,1968.554013,82.434333,0.631533,54.16182855,-6.286119904,1,sunflower and peanuts
Derrylin wood,H 2627,0,0.32191,0.036269,0.04706,0.034496,0.173181,5066.990641,28.94405,0.560267,54.19134012,-7.602440875,1,sunflower and peanuts
Derrymean,H 4329,0,0.076478,0.005637,0,0,0.059221,4190.656954,79.823799,0.917884,54.20816469,-7.341741195,1,sunflower and peanuts
Derrynoyd,H 7695,0,0.368974,0,0.03959,0,0.115261,3389.944832,77.877502,0.568347,54.79710988,-6.819110062,1,sunflower and peanuts
Dooneen Forest,H 3753,0,0.055599,0,0.335372,0.093552,0.368156,2333.474923,5.92281,0.515477,54.42422629,-7.430719456,1,sunflower and peanuts
